make,fuel-type,body-style,drive-wheels,curb-weight,engine-type,num-of-cylinders,num-of-cylinders-numerical,engine-size,horsepower,city-mpg,highway-mpg,price
honda,gas,sedan,fwd,2010,ohc,four,4,92,76.0,30,34,7295.0
honda,gas,wagon,fwd,2024,ohc,four,4,92,76.0,30,34,7295.0
honda,gas,hatchback,fwd,2236,ohc,four,4,110,86.0,27,33,7895.0
honda,gas,hatchback,fwd,2289,ohc,four,4,110,86.0,27,33,9095.0
honda,gas,sedan,fwd,2304,ohc,four,4,110,86.0,27,33,8845.0
honda,gas,sedan,fwd,2372,ohc,four,4,110,86.0,27,33,10295.0
honda,gas,sedan,fwd,2465,ohc,four,4,110,101.0,24,28,12945.0
honda,gas,sedan,fwd,2293,ohc,four,4,110,100.0,25,31,10345.0
isuzu,gas,sedan,rwd,2337,ohc,four,4,111,78.0,24,29,6785.0
isuzu,gas,sedan,fwd,1874,ohc,four,4,90,70.0,38,43,
isuzu,gas,sedan,fwd,1909,ohc,four,4,90,70.0,38,43,
isuzu,gas,hatchback,rwd,2734,ohc,four,4,119,90.0,24,29,11048.0
jaguar,gas,sedan,rwd,4066,dohc,six,6,258,176.0,15,19,32250.0
jaguar,gas,sedan,rwd,4066,dohc,six,6,258,176.0,15,19,35550.0
jaguar,gas,sedan,rwd,3950,ohcv,twelve,12,326,262.0,13,17,36000.0
mazda,gas,hatchback,fwd,1890,ohc,four,4,91,68.0,30,31,5195.0
mazda,gas,hatchback,fwd,1900,ohc,four,4,91,68.0,31,38,6095.0
mazda,gas,hatchback,fwd,1905,ohc,four,4,91,68.0,31,38,6795.0
mazda,gas,sedan,fwd,1945,ohc,four,4,91,68.0,31,38,6695.0
mazda,gas,sedan,fwd,1950,ohc,four,4,91,68.0,31,38,7395.0
mazda,gas,hatchback,rwd,2380,rotor,two,2,70,101.0,17,23,10945.0
mazda,gas,hatchback,rwd,2380,rotor,two,2,70,101.0,17,23,11845.0
mazda,gas,hatchback,rwd,2385,rotor,two,2,70,101.0,17,23,13645.0
mazda,gas,hatchback,rwd,2500,rotor,two,2,80,135.0,16,23,15645.0
mazda,gas,hatchback,fwd,2385,ohc,four,4,122,84.0,26,32,8845.0
mazda,gas,sedan,fwd,2410,ohc,four,4,122,84.0,26,32,8495.0
mazda,gas,hatchback,fwd,2385,ohc,four,4,122,84.0,26,32,10595.0
mazda,gas,sedan,fwd,2410,ohc,four,4,122,84.0,26,32,10245.0
mazda,diesel,sedan,fwd,2443,ohc,four,4,122,64.0,36,42,10795.0
mazda,gas,hatchback,fwd,2425,ohc,four,4,122,84.0,26,32,11245.0
mazda,gas,sedan,rwd,2670,ohc,four,4,140,120.0,19,27,18280.0
mazda,diesel,sedan,rwd,2700,ohc,four,4,134,72.0,31,39,18344.0
mercedes-benz,diesel,sedan,rwd,3515,ohc,five,5,183,123.0,22,25,25552.0
mercedes-benz,diesel,wagon,rwd,3750,ohc,five,5,183,123.0,22,25,28248.0
mercedes-benz,diesel,hardtop,rwd,3495,ohc,five,5,183,123.0,22,25,28176.0
mercedes-benz,diesel,sedan,rwd,3770,ohc,five,5,183,123.0,22,25,31600.0
mercedes-benz,gas,sedan,rwd,3740,ohcv,eight,8,234,155.0,16,18,34184.0
mercedes-benz,gas,convertible,rwd,3685,ohcv,eight,8,234,155.0,16,18,35056.0
mercedes-benz,gas,sedan,rwd,3900,ohcv,eight,8,308,184.0,14,16,40960.0
mercedes-benz,gas,hardtop,rwd,3715,ohcv,eight,8,304,184.0,14,16,45400.0
mercury,gas,hatchback,rwd,2910,ohc,four,4,140,175.0,19,24,16503.0
mitsubishi,gas,hatchback,fwd,1918,ohc,four,4,92,68.0,37,41,5389.0
mitsubishi,gas,hatchback,fwd,1944,ohc,four,4,92,68.0,31,38,6189.0
mitsubishi,gas,hatchback,fwd,2004,ohc,four,4,92,68.0,31,38,6669.0
mitsubishi,gas,hatchback,fwd,2145,ohc,four,4,98,102.0,24,30,7689.0
mitsubishi,gas,hatchback,fwd,2370,ohc,four,4,110,116.0,23,30,9959.0
mitsubishi,gas,hatchback,fwd,2328,ohc,four,4,122,88.0,25,32,8499.0
mitsubishi,gas,hatchback,fwd,2833,ohc,four,4,156,145.0,19,24,12629.0
mitsubishi,gas,hatchback,fwd,2921,ohc,four,4,156,145.0,19,24,14869.0
mitsubishi,gas,hatchback,fwd,2926,ohc,four,4,156,145.0,19,24,14489.0
mitsubishi,gas,sedan,fwd,2365,ohc,four,4,122,88.0,25,32,6989.0
mitsubishi,gas,sedan,fwd,2405,ohc,four,4,122,88.0,25,32,8189.0
mitsubishi,gas,sedan,fwd,2403,ohc,four,4,110,116.0,23,30,9279.0
mitsubishi,gas,sedan,fwd,2403,ohc,four,4,110,116.0,23,30,9279.0
nissan,gas,sedan,fwd,1889,ohc,four,4,97,69.0,31,37,5499.0
nissan,diesel,sedan,fwd,2017,ohc,four,4,103,55.0,45,50,7099.0
nissan,gas,sedan,fwd,1918,ohc,four,4,97,69.0,31,37,6649.0
nissan,gas,sedan,fwd,1938,ohc,four,4,97,69.0,31,37,6849.0
nissan,gas,wagon,fwd,2024,ohc,four,4,97,69.0,31,37,7349.0
nissan,gas,sedan,fwd,1951,ohc,four,4,97,69.0,31,37,7299.0
nissan,gas,hatchback,fwd,2028,ohc,four,4,97,69.0,31,37,7799.0
nissan,gas,sedan,fwd,1971,ohc,four,4,97,69.0,31,37,7499.0
nissan,gas,wagon,fwd,2037,ohc,four,4,97,69.0,31,37,7999.0
nissan,gas,hardtop,fwd,2008,ohc,four,4,97,69.0,31,37,8249.0
nissan,gas,hatchback,fwd,2324,ohc,four,4,120,97.0,27,34,8949.0
nissan,gas,sedan,fwd,2302,ohc,four,4,120,97.0,27,34,9549.0
nissan,gas,sedan,fwd,3095,ohcv,six,6,181,152.0,17,22,13499.0
nissan,gas,wagon,fwd,3296,ohcv,six,6,181,152.0,17,22,14399.0
nissan,gas,sedan,fwd,3060,ohcv,six,6,181,152.0,19,25,13499.0
nissan,gas,hatchback,rwd,3071,ohcv,six,6,181,160.0,19,25,17199.0
nissan,gas,hatchback,rwd,3139,ohcv,six,6,181,200.0,17,23,19699.0
nissan,gas,hatchback,rwd,3139,ohcv,six,6,181,160.0,19,25,18399.0
peugot,gas,sedan,rwd,3020,l,four,4,120,97.0,19,24,11900.0
peugot,diesel,sedan,rwd,3197,l,four,4,152,95.0,28,33,13200.0
peugot,gas,wagon,rwd,3230,l,four,4,120,97.0,19,24,12440.0
peugot,diesel,wagon,rwd,3430,l,four,4,152,95.0,25,25,13860.0
peugot,gas,sedan,rwd,3075,l,four,4,120,95.0,19,24,15580.0
peugot,diesel,sedan,rwd,3252,l,four,4,152,95.0,28,33,16900.0
peugot,gas,wagon,rwd,3285,l,four,4,120,95.0,19,24,16695.0
peugot,diesel,wagon,rwd,3485,l,four,4,152,95.0,25,25,17075.0
peugot,gas,sedan,rwd,3075,l,four,4,120,97.0,19,24,16630.0
peugot,diesel,sedan,rwd,3252,l,four,4,152,95.0,28,33,17950.0
peugot,gas,sedan,rwd,3130,l,four,4,134,142.0,18,24,18150.0
plymouth,gas,hatchback,fwd,1918,ohc,four,4,90,68.0,37,41,5572.0
plymouth,gas,hatchback,fwd,2128,ohc,four,4,98,102.0,24,30,7957.0
plymouth,gas,hatchback,fwd,1967,ohc,four,4,90,68.0,31,38,6229.0
plymouth,gas,sedan,fwd,1989,ohc,four,4,90,68.0,31,38,6692.0
plymouth,gas,sedan,fwd,2191,ohc,four,4,98,68.0,31,38,7609.0
plymouth,gas,wagon,fwd,2535,ohc,four,4,122,88.0,24,30,8921.0
plymouth,gas,hatchback,rwd,2818,ohc,four,4,156,145.0,19,24,12764.0
porsche,gas,hatchback,rwd,2778,ohc,four,4,151,143.0,19,27,22018.0
porsche,gas,hardtop,rwd,2756,ohcf,six,6,194,207.0,17,25,32528.0
porsche,gas,hardtop,rwd,2756,ohcf,six,6,194,207.0,17,25,34028.0
porsche,gas,convertible,rwd,2800,ohcf,six,6,194,207.0,17,25,37028.0
porsche,gas,hatchback,rwd,3366,dohcv,eight,8,203,288.0,17,28,
renault,gas,wagon,fwd,2579,ohc,four,4,132,,23,31,9295.0
renault,gas,hatchback,fwd,2460,ohc,four,4,132,,23,31,9895.0
saab,gas,hatchback,fwd,2658,ohc,four,4,121,110.0,21,28,11850.0
saab,gas,sedan,fwd,2695,ohc,four,4,121,110.0,21,28,12170.0
saab,gas,hatchback,fwd,2707,ohc,four,4,121,110.0,21,28,15040.0
saab,gas,sedan,fwd,2758,ohc,four,4,121,110.0,21,28,15510.0
saab,gas,hatchback,fwd,2808,dohc,four,4,121,160.0,19,26,18150.0
saab,gas,sedan,fwd,2847,dohc,four,4,121,160.0,19,26,18620.0
subaru,gas,hatchback,fwd,2050,ohcf,four,4,97,69.0,31,36,5118.0
subaru,gas,hatchback,fwd,2120,ohcf,four,4,108,73.0,26,31,7053.0
subaru,gas,hatchback,4wd,2240,ohcf,four,4,108,73.0,26,31,7603.0
subaru,gas,sedan,fwd,2145,ohcf,four,4,108,82.0,32,37,7126.0
subaru,gas,sedan,fwd,2190,ohcf,four,4,108,82.0,28,33,7775.0
subaru,gas,sedan,fwd,2340,ohcf,four,4,108,94.0,26,32,9960.0
subaru,gas,sedan,4wd,2385,ohcf,four,4,108,82.0,24,25,9233.0
subaru,gas,sedan,4wd,2510,ohcf,four,4,108,111.0,24,29,11259.0
subaru,gas,wagon,fwd,2290,ohcf,four,4,108,82.0,28,32,7463.0
subaru,gas,wagon,fwd,2455,ohcf,four,4,108,94.0,25,31,10198.0
subaru,gas,wagon,4wd,2420,ohcf,four,4,108,82.0,23,29,8013.0
subaru,gas,wagon,4wd,2650,ohcf,four,4,108,111.0,23,23,11694.0
toyota,gas,hatchback,fwd,1985,ohc,four,4,92,62.0,35,39,5348.0
toyota,gas,hatchback,fwd,2040,ohc,four,4,92,62.0,31,38,6338.0
toyota,gas,hatchback,fwd,2015,ohc,four,4,92,62.0,31,38,6488.0
toyota,gas,wagon,fwd,2280,ohc,four,4,92,62.0,31,37,6918.0
toyota,gas,wagon,4wd,2290,ohc,four,4,92,62.0,27,32,7898.0
toyota,gas,wagon,4wd,3110,ohc,four,4,92,62.0,27,32,8778.0
toyota,gas,sedan,fwd,2081,ohc,four,4,98,70.0,30,37,6938.0
toyota,gas,hatchback,fwd,2109,ohc,four,4,98,70.0,30,37,7198.0
toyota,diesel,sedan,fwd,2275,ohc,four,4,110,56.0,34,36,7898.0
toyota,diesel,hatchback,fwd,2275,ohc,four,4,110,56.0,38,47,7788.0
toyota,gas,sedan,fwd,2094,ohc,four,4,98,70.0,38,47,7738.0
toyota,gas,hatchback,fwd,2122,ohc,four,4,98,70.0,28,34,8358.0
toyota,gas,sedan,fwd,2140,ohc,four,4,98,70.0,28,34,9258.0
toyota,gas,sedan,rwd,2169,ohc,four,4,98,70.0,29,34,8058.0
toyota,gas,hatchback,rwd,2204,ohc,four,4,98,70.0,29,34,8238.0
toyota,gas,sedan,rwd,2265,dohc,four,4,98,112.0,26,29,9298.0
toyota,gas,hatchback,rwd,2300,dohc,four,4,98,112.0,26,29,9538.0
toyota,gas,hardtop,rwd,2540,ohc,four,4,146,116.0,24,30,8449.0
toyota,gas,hardtop,rwd,2536,ohc,four,4,146,116.0,24,30,9639.0
toyota,gas,hatchback,rwd,2551,ohc,four,4,146,116.0,24,30,9989.0
toyota,gas,hardtop,rwd,2679,ohc,four,4,146,116.0,24,30,11199.0
toyota,gas,hatchback,rwd,2714,ohc,four,4,146,116.0,24,30,11549.0
toyota,gas,convertible,rwd,2975,ohc,four,4,146,116.0,24,30,17669.0
toyota,gas,sedan,fwd,2326,ohc,four,4,122,92.0,29,34,8948.0
toyota,diesel,sedan,fwd,2480,ohc,four,4,110,73.0,30,33,10698.0
toyota,gas,hatchback,fwd,2414,ohc,four,4,122,92.0,27,32,9988.0
toyota,gas,sedan,fwd,2414,ohc,four,4,122,92.0,27,32,10898.0
toyota,gas,hatchback,fwd,2458,ohc,four,4,122,92.0,27,32,11248.0
toyota,gas,hatchback,rwd,2976,dohc,six,6,171,161.0,20,24,16558.0
toyota,gas,hatchback,rwd,3016,dohc,six,6,171,161.0,19,24,15998.0
toyota,gas,sedan,rwd,3131,dohc,six,6,171,156.0,20,24,15690.0
toyota,gas,wagon,rwd,3151,dohc,six,6,161,156.0,19,24,15750.0
volkswagen,diesel,sedan,fwd,2261,ohc,four,4,97,52.0,37,46,7775.0
volkswagen,gas,sedan,fwd,2209,ohc,four,4,109,85.0,27,34,7975.0
volkswagen,diesel,sedan,fwd,2264,ohc,four,4,97,52.0,37,46,7995.0
volkswagen,gas,sedan,fwd,2212,ohc,four,4,109,85.0,27,34,8195.0
volkswagen,gas,sedan,fwd,2275,ohc,four,4,109,85.0,27,34,8495.0
volkswagen,diesel,sedan,fwd,2319,ohc,four,4,97,68.0,37,42,9495.0
volkswagen,gas,sedan,fwd,2300,ohc,four,4,109,100.0,26,32,9995.0
volkswagen,gas,convertible,fwd,2254,ohc,four,4,109,90.0,24,29,11595.0
volkswagen,gas,hatchback,fwd,2221,ohc,four,4,109,90.0,24,29,9980.0
volkswagen,gas,sedan,fwd,2661,ohc,five,5,136,110.0,19,24,13295.0
volkswagen,diesel,sedan,fwd,2579,ohc,four,4,97,68.0,33,38,13845.0
volkswagen,gas,wagon,fwd,2563,ohc,four,4,109,88.0,25,31,12290.0
volvo,gas,sedan,rwd,2912,ohc,four,4,141,114.0,23,28,12940.0
volvo,gas,wagon,rwd,3034,ohc,four,4,141,114.0,23,28,13415.0
volvo,gas,sedan,rwd,2935,ohc,four,4,141,114.0,24,28,15985.0
volvo,gas,wagon,rwd,3042,ohc,four,4,141,114.0,24,28,16515.0
volvo,gas,sedan,rwd,3045,ohc,four,4,130,162.0,17,22,18420.0
volvo,gas,wagon,rwd,3157,ohc,four,4,130,162.0,17,22,18950.0
volvo,gas,sedan,rwd,2952,ohc,four,4,141,114.0,23,28,16845.0
volvo,gas,sedan,rwd,3049,ohc,four,4,141,160.0,19,25,19045.0
volvo,gas,sedan,rwd,3012,ohcv,six,6,173,134.0,18,23,21485.0
volvo,diesel,sedan,rwd,3217,ohc,six,6,145,106.0,26,27,22470.0
volvo,gas,sedan,rwd,3062,ohc,four,4,141,114.0,19,25,22625.0
