make,fuel-type,body-style,drive-wheels,curb-weight,engine-type,num-of-cylinders,cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
dodge,gas,hatchback,fwd,1967.0,ohc,four,4.0,90.0,68.0,31.0,38.0,6229.0
dodge,gas,sedan,fwd,1989.0,ohc,four,4.0,90.0,68.0,31.0,38.0,6692.0
dodge,gas,sedan,fwd,1989.0,ohc,four,4.0,90.0,68.0,31.0,38.0,7609.0
dodge,gas,sedan,fwd,2191.0,ohc,four,4.0,98.0,102.0,24.0,30.0,8558.0
dodge,gas,wagon,fwd,2535.0,ohc,four,4.0,122.0,88.0,24.0,30.0,8921.0
dodge,gas,hatchback,fwd,2811.0,ohc,four,4.0,156.0,145.0,19.0,24.0,12964.0
honda,gas,hatchback,fwd,1713.0,ohc,four,4.0,92.0,58.0,49.0,54.0,6479.0
honda,gas,hatchback,fwd,1819.0,ohc,four,4.0,92.0,76.0,31.0,38.0,6855.0
honda,gas,hatchback,fwd,1837.0,ohc,four,4.0,79.0,60.0,38.0,42.0,5399.0
honda,gas,hatchback,fwd,1940.0,ohc,four,4.0,92.0,76.0,30.0,34.0,6529.0
honda,gas,hatchback,fwd,1956.0,ohc,four,4.0,92.0,76.0,30.0,34.0,7129.0
honda,gas,sedan,fwd,2010.0,ohc,four,4.0,92.0,76.0,30.0,34.0,7295.0
honda,gas,wagon,fwd,2024.0,ohc,four,4.0,92.0,76.0,30.0,34.0,7295.0
honda,gas,hatchback,fwd,2236.0,ohc,four,4.0,110.0,86.0,27.0,33.0,7895.0
honda,gas,hatchback,fwd,2289.0,ohc,four,4.0,110.0,86.0,27.0,33.0,9095.0
honda,gas,sedan,fwd,2304.0,ohc,four,4.0,110.0,86.0,27.0,33.0,8845.0
honda,gas,sedan,fwd,2372.0,ohc,four,4.0,110.0,86.0,27.0,33.0,10295.0
honda,gas,sedan,fwd,2465.0,ohc,four,4.0,110.0,101.0,24.0,28.0,12945.0
honda,gas,sedan,fwd,2293.0,ohc,four,4.0,110.0,100.0,25.0,31.0,10345.0
isuzu,gas,sedan,rwd,2337.0,ohc,four,4.0,111.0,78.0,24.0,29.0,6785.0
isuzu,gas,hatchback,rwd,2734.0,ohc,four,4.0,119.0,90.0,24.0,29.0,11048.0
jaguar,gas,sedan,rwd,4066.0,dohc,six,6.0,258.0,176.0,15.0,19.0,32250.0
jaguar,gas,sedan,rwd,4066.0,dohc,six,6.0,258.0,176.0,15.0,19.0,35550.0
jaguar,gas,sedan,rwd,3950.0,ohcv,twelve,12.0,326.0,262.0,13.0,17.0,36000.0
mazda,gas,hatchback,fwd,1890.0,ohc,four,4.0,91.0,68.0,30.0,31.0,5195.0
mazda,gas,hatchback,fwd,1900.0,ohc,four,4.0,91.0,68.0,31.0,38.0,6095.0
mazda,gas,hatchback,fwd,1905.0,ohc,four,4.0,91.0,68.0,31.0,38.0,6795.0
mazda,gas,sedan,fwd,1945.0,ohc,four,4.0,91.0,68.0,31.0,38.0,6695.0
mazda,gas,sedan,fwd,1950.0,ohc,four,4.0,91.0,68.0,31.0,38.0,7395.0
mazda,gas,hatchback,rwd,2380.0,rotor,two,2.0,70.0,101.0,17.0,23.0,10945.0
mazda,gas,hatchback,rwd,2380.0,rotor,two,2.0,70.0,101.0,17.0,23.0,11845.0
mazda,gas,hatchback,rwd,2385.0,rotor,two,2.0,70.0,101.0,17.0,23.0,13645.0
mazda,gas,hatchback,rwd,2500.0,rotor,two,2.0,80.0,135.0,16.0,23.0,15645.0
mazda,gas,hatchback,fwd,2385.0,ohc,four,4.0,122.0,84.0,26.0,32.0,8845.0
mazda,gas,sedan,fwd,2410.0,ohc,four,4.0,122.0,84.0,26.0,32.0,8495.0
mazda,gas,hatchback,fwd,2385.0,ohc,four,4.0,122.0,84.0,26.0,32.0,10595.0
mazda,gas,sedan,fwd,2410.0,ohc,four,4.0,122.0,84.0,26.0,32.0,10245.0
mazda,diesel,sedan,fwd,2443.0,ohc,four,4.0,122.0,64.0,36.0,42.0,10795.0
mazda,gas,hatchback,fwd,2425.0,ohc,four,4.0,122.0,84.0,26.0,32.0,11245.0
mazda,gas,sedan,rwd,2670.0,ohc,four,4.0,140.0,120.0,19.0,27.0,18280.0
mazda,diesel,sedan,rwd,2700.0,ohc,four,4.0,134.0,72.0,31.0,39.0,18344.0
mercedes-benz,diesel,sedan,rwd,3515.0,ohc,five,5.0,183.0,123.0,22.0,25.0,25552.0
mercedes-benz,diesel,wagon,rwd,3750.0,ohc,five,5.0,183.0,123.0,22.0,25.0,28248.0
mercedes-benz,diesel,hardtop,rwd,3495.0,ohc,five,5.0,183.0,123.0,22.0,25.0,28176.0
mercedes-benz,diesel,sedan,rwd,3770.0,ohc,five,5.0,183.0,123.0,22.0,25.0,31600.0
mercedes-benz,gas,sedan,rwd,3740.0,ohcv,eight,8.0,234.0,155.0,16.0,18.0,34184.0
mercedes-benz,gas,convertible,rwd,3685.0,ohcv,eight,8.0,234.0,155.0,16.0,18.0,35056.0
mercedes-benz,gas,sedan,rwd,3900.0,ohcv,eight,8.0,308.0,184.0,14.0,16.0,40960.0
mercedes-benz,gas,hardtop,rwd,3715.0,ohcv,eight,8.0,304.0,184.0,14.0,16.0,45400.0
mercury,gas,hatchback,rwd,2910.0,ohc,four,4.0,140.0,175.0,19.0,24.0,16503.0
mitsubishi,gas,hatchback,fwd,1918.0,ohc,four,4.0,92.0,68.0,37.0,41.0,5389.0
mitsubishi,gas,hatchback,fwd,1944.0,ohc,four,4.0,92.0,68.0,31.0,38.0,6189.0
mitsubishi,gas,hatchback,fwd,2004.0,ohc,four,4.0,92.0,68.0,31.0,38.0,6669.0
mitsubishi,gas,hatchback,fwd,2145.0,ohc,four,4.0,98.0,102.0,24.0,30.0,7689.0
mitsubishi,gas,hatchback,fwd,2370.0,ohc,four,4.0,110.0,116.0,23.0,30.0,9959.0
mitsubishi,gas,hatchback,fwd,2328.0,ohc,four,4.0,122.0,88.0,25.0,32.0,8499.0
mitsubishi,gas,hatchback,fwd,2833.0,ohc,four,4.0,156.0,145.0,19.0,24.0,12629.0
mitsubishi,gas,hatchback,fwd,2921.0,ohc,four,4.0,156.0,145.0,19.0,24.0,14869.0
mitsubishi,gas,hatchback,fwd,2926.0,ohc,four,4.0,156.0,145.0,19.0,24.0,14489.0
mitsubishi,gas,sedan,fwd,2365.0,ohc,four,4.0,122.0,88.0,25.0,32.0,6989.0
mitsubishi,gas,sedan,fwd,2405.0,ohc,four,4.0,122.0,88.0,25.0,32.0,8189.0
mitsubishi,gas,sedan,fwd,2403.0,ohc,four,4.0,110.0,116.0,23.0,30.0,9279.0
mitsubishi,gas,sedan,fwd,2403.0,ohc,four,4.0,110.0,116.0,23.0,30.0,9279.0
nissan,gas,sedan,fwd,1889.0,ohc,four,4.0,97.0,69.0,31.0,37.0,5499.0
nissan,diesel,sedan,fwd,2017.0,ohc,four,4.0,103.0,55.0,45.0,50.0,7099.0
nissan,gas,sedan,fwd,1918.0,ohc,four,4.0,97.0,69.0,31.0,37.0,6649.0
nissan,gas,sedan,fwd,1938.0,ohc,four,4.0,97.0,69.0,31.0,37.0,6849.0
nissan,gas,wagon,fwd,2024.0,ohc,four,4.0,97.0,69.0,31.0,37.0,7349.0
nissan,gas,sedan,fwd,1951.0,ohc,four,4.0,97.0,69.0,31.0,37.0,7299.0
nissan,gas,hatchback,fwd,2028.0,ohc,four,4.0,97.0,69.0,31.0,37.0,7799.0
nissan,gas,sedan,fwd,1971.0,ohc,four,4.0,97.0,69.0,31.0,37.0,7499.0
nissan,gas,wagon,fwd,2037.0,ohc,four,4.0,97.0,69.0,31.0,37.0,7999.0
nissan,gas,hardtop,fwd,2008.0,ohc,four,4.0,97.0,69.0,31.0,37.0,8249.0
nissan,gas,hatchback,fwd,2324.0,ohc,four,4.0,120.0,97.0,27.0,34.0,8949.0
nissan,gas,sedan,fwd,2302.0,ohc,four,4.0,120.0,97.0,27.0,34.0,9549.0
nissan,gas,sedan,fwd,3095.0,ohcv,six,6.0,181.0,152.0,17.0,22.0,13499.0
nissan,gas,wagon,fwd,3296.0,ohcv,six,6.0,181.0,152.0,17.0,22.0,14399.0
nissan,gas,sedan,fwd,3060.0,ohcv,six,6.0,181.0,152.0,19.0,25.0,13499.0
nissan,gas,hatchback,rwd,3071.0,ohcv,six,6.0,181.0,160.0,19.0,25.0,17199.0
nissan,gas,hatchback,rwd,3139.0,ohcv,six,6.0,181.0,200.0,17.0,23.0,19699.0
nissan,gas,hatchback,rwd,3139.0,ohcv,six,6.0,181.0,160.0,19.0,25.0,18399.0
peugot,gas,sedan,rwd,3020.0,l,four,4.0,120.0,97.0,19.0,24.0,11900.0
peugot,diesel,sedan,rwd,3197.0,l,four,4.0,152.0,95.0,28.0,33.0,13200.0
peugot,gas,wagon,rwd,3230.0,l,four,4.0,120.0,97.0,19.0,24.0,12440.0
peugot,diesel,wagon,rwd,3430.0,l,four,4.0,152.0,95.0,25.0,25.0,13860.0
peugot,gas,sedan,rwd,3075.0,l,four,4.0,120.0,95.0,19.0,24.0,15580.0
peugot,diesel,sedan,rwd,3252.0,l,four,4.0,152.0,95.0,28.0,33.0,16900.0
peugot,gas,wagon,rwd,3285.0,l,four,4.0,120.0,95.0,19.0,24.0,16695.0
peugot,diesel,wagon,rwd,3485.0,l,four,4.0,152.0,95.0,25.0,25.0,17075.0
peugot,gas,sedan,rwd,3075.0,l,four,4.0,120.0,97.0,19.0,24.0,16630.0
peugot,diesel,sedan,rwd,3252.0,l,four,4.0,152.0,95.0,28.0,33.0,17950.0
peugot,gas,sedan,rwd,3130.0,l,four,4.0,134.0,142.0,18.0,24.0,18150.0
plymouth,gas,hatchback,fwd,1918.0,ohc,four,4.0,90.0,68.0,37.0,41.0,5572.0
plymouth,gas,hatchback,fwd,2128.0,ohc,four,4.0,98.0,102.0,24.0,30.0,7957.0
plymouth,gas,hatchback,fwd,1967.0,ohc,four,4.0,90.0,68.0,31.0,38.0,6229.0
plymouth,gas,sedan,fwd,1989.0,ohc,four,4.0,90.0,68.0,31.0,38.0,6692.0
plymouth,gas,sedan,fwd,2191.0,ohc,four,4.0,98.0,68.0,31.0,38.0,7609.0
plymouth,gas,wagon,fwd,2535.0,ohc,four,4.0,122.0,88.0,24.0,30.0,8921.0
plymouth,gas,hatchback,rwd,2818.0,ohc,four,4.0,156.0,145.0,19.0,24.0,12764.0
porsche,gas,hatchback,rwd,2778.0,ohc,four,4.0,151.0,143.0,19.0,27.0,22018.0
porsche,gas,hardtop,rwd,2756.0,ohcf,six,6.0,194.0,207.0,17.0,25.0,32528.0
porsche,gas,hardtop,rwd,2756.0,ohcf,six,6.0,194.0,207.0,17.0,25.0,34028.0
porsche,gas,convertible,rwd,2800.0,ohcf,six,6.0,194.0,207.0,17.0,25.0,37028.0
saab,gas,hatchback,fwd,2658.0,ohc,four,4.0,121.0,110.0,21.0,28.0,11850.0
saab,gas,sedan,fwd,2695.0,ohc,four,4.0,121.0,110.0,21.0,28.0,12170.0
saab,gas,hatchback,fwd,2707.0,ohc,four,4.0,121.0,110.0,21.0,28.0,15040.0
saab,gas,sedan,fwd,2758.0,ohc,four,4.0,121.0,110.0,21.0,28.0,15510.0
saab,gas,hatchback,fwd,2808.0,dohc,four,4.0,121.0,160.0,19.0,26.0,18150.0
saab,gas,sedan,fwd,2847.0,dohc,four,4.0,121.0,160.0,19.0,26.0,18620.0
subaru,gas,hatchback,fwd,2050.0,ohcf,four,4.0,97.0,69.0,31.0,36.0,5118.0
subaru,gas,hatchback,fwd,2120.0,ohcf,four,4.0,108.0,73.0,26.0,31.0,7053.0
subaru,gas,hatchback,4wd,2240.0,ohcf,four,4.0,108.0,73.0,26.0,31.0,7603.0
subaru,gas,sedan,fwd,2145.0,ohcf,four,4.0,108.0,82.0,32.0,37.0,7126.0
subaru,gas,sedan,fwd,2190.0,ohcf,four,4.0,108.0,82.0,28.0,33.0,7775.0
subaru,gas,sedan,fwd,2340.0,ohcf,four,4.0,108.0,94.0,26.0,32.0,9960.0
subaru,gas,sedan,4wd,2385.0,ohcf,four,4.0,108.0,82.0,24.0,25.0,9233.0
subaru,gas,sedan,4wd,2510.0,ohcf,four,4.0,108.0,111.0,24.0,29.0,11259.0
subaru,gas,wagon,fwd,2290.0,ohcf,four,4.0,108.0,82.0,28.0,32.0,7463.0
subaru,gas,wagon,fwd,2455.0,ohcf,four,4.0,108.0,94.0,25.0,31.0,10198.0
subaru,gas,wagon,4wd,2420.0,ohcf,four,4.0,108.0,82.0,23.0,29.0,8013.0
subaru,gas,wagon,4wd,2650.0,ohcf,four,4.0,108.0,111.0,23.0,23.0,11694.0
toyota,gas,hatchback,fwd,1985.0,ohc,four,4.0,92.0,62.0,35.0,39.0,5348.0
toyota,gas,hatchback,fwd,2040.0,ohc,four,4.0,92.0,62.0,31.0,38.0,6338.0
toyota,gas,hatchback,fwd,2015.0,ohc,four,4.0,92.0,62.0,31.0,38.0,6488.0
toyota,gas,wagon,fwd,2280.0,ohc,four,4.0,92.0,62.0,31.0,37.0,6918.0
toyota,gas,wagon,4wd,2290.0,ohc,four,4.0,92.0,62.0,27.0,32.0,7898.0
toyota,gas,wagon,4wd,3110.0,ohc,four,4.0,92.0,62.0,27.0,32.0,8778.0
toyota,gas,sedan,fwd,2081.0,ohc,four,4.0,98.0,70.0,30.0,37.0,6938.0
toyota,gas,hatchback,fwd,2109.0,ohc,four,4.0,98.0,70.0,30.0,37.0,7198.0
toyota,diesel,sedan,fwd,2275.0,ohc,four,4.0,110.0,56.0,34.0,36.0,7898.0
toyota,diesel,hatchback,fwd,2275.0,ohc,four,4.0,110.0,56.0,38.0,47.0,7788.0
toyota,gas,sedan,fwd,2094.0,ohc,four,4.0,98.0,70.0,38.0,47.0,7738.0
toyota,gas,hatchback,fwd,2122.0,ohc,four,4.0,98.0,70.0,28.0,34.0,8358.0
toyota,gas,sedan,fwd,2140.0,ohc,four,4.0,98.0,70.0,28.0,34.0,9258.0
toyota,gas,sedan,rwd,2169.0,ohc,four,4.0,98.0,70.0,29.0,34.0,8058.0
toyota,gas,hatchback,rwd,2204.0,ohc,four,4.0,98.0,70.0,29.0,34.0,8238.0
toyota,gas,sedan,rwd,2265.0,dohc,four,4.0,98.0,112.0,26.0,29.0,9298.0
toyota,gas,hatchback,rwd,2300.0,dohc,four,4.0,98.0,112.0,26.0,29.0,9538.0
toyota,gas,hardtop,rwd,2540.0,ohc,four,4.0,146.0,116.0,24.0,30.0,8449.0
toyota,gas,hardtop,rwd,2536.0,ohc,four,4.0,146.0,116.0,24.0,30.0,9639.0
toyota,gas,hatchback,rwd,2551.0,ohc,four,4.0,146.0,116.0,24.0,30.0,9989.0
toyota,gas,hardtop,rwd,2679.0,ohc,four,4.0,146.0,116.0,24.0,30.0,11199.0
toyota,gas,hatchback,rwd,2714.0,ohc,four,4.0,146.0,116.0,24.0,30.0,11549.0
toyota,gas,convertible,rwd,2975.0,ohc,four,4.0,146.0,116.0,24.0,30.0,17669.0
toyota,gas,sedan,fwd,2326.0,ohc,four,4.0,122.0,92.0,29.0,34.0,8948.0
toyota,diesel,sedan,fwd,2480.0,ohc,four,4.0,110.0,73.0,30.0,33.0,10698.0
toyota,gas,hatchback,fwd,2414.0,ohc,four,4.0,122.0,92.0,27.0,32.0,9988.0
toyota,gas,sedan,fwd,2414.0,ohc,four,4.0,122.0,92.0,27.0,32.0,10898.0
toyota,gas,hatchback,fwd,2458.0,ohc,four,4.0,122.0,92.0,27.0,32.0,11248.0
toyota,gas,hatchback,rwd,2976.0,dohc,six,6.0,171.0,161.0,20.0,24.0,16558.0
toyota,gas,hatchback,rwd,3016.0,dohc,six,6.0,171.0,161.0,19.0,24.0,15998.0
toyota,gas,sedan,rwd,3131.0,dohc,six,6.0,171.0,156.0,20.0,24.0,15690.0
toyota,gas,wagon,rwd,3151.0,dohc,six,6.0,161.0,156.0,19.0,24.0,15750.0
volkswagen,diesel,sedan,fwd,2261.0,ohc,four,4.0,97.0,52.0,37.0,46.0,7775.0
volkswagen,gas,sedan,fwd,2209.0,ohc,four,4.0,109.0,85.0,27.0,34.0,7975.0
volkswagen,diesel,sedan,fwd,2264.0,ohc,four,4.0,97.0,52.0,37.0,46.0,7995.0
volkswagen,gas,sedan,fwd,2212.0,ohc,four,4.0,109.0,85.0,27.0,34.0,8195.0
volkswagen,gas,sedan,fwd,2275.0,ohc,four,4.0,109.0,85.0,27.0,34.0,8495.0
volkswagen,diesel,sedan,fwd,2319.0,ohc,four,4.0,97.0,68.0,37.0,42.0,9495.0
volkswagen,gas,sedan,fwd,2300.0,ohc,four,4.0,109.0,100.0,26.0,32.0,9995.0
volkswagen,gas,convertible,fwd,2254.0,ohc,four,4.0,109.0,90.0,24.0,29.0,11595.0
volkswagen,gas,hatchback,fwd,2221.0,ohc,four,4.0,109.0,90.0,24.0,29.0,9980.0
volkswagen,gas,sedan,fwd,2661.0,ohc,five,5.0,136.0,110.0,19.0,24.0,13295.0
volkswagen,diesel,sedan,fwd,2579.0,ohc,four,4.0,97.0,68.0,33.0,38.0,13845.0
volkswagen,gas,wagon,fwd,2563.0,ohc,four,4.0,109.0,88.0,25.0,31.0,12290.0
volvo,gas,sedan,rwd,2912.0,ohc,four,4.0,141.0,114.0,23.0,28.0,12940.0
volvo,gas,wagon,rwd,3034.0,ohc,four,4.0,141.0,114.0,23.0,28.0,13415.0
volvo,gas,sedan,rwd,2935.0,ohc,four,4.0,141.0,114.0,24.0,28.0,15985.0
volvo,gas,wagon,rwd,3042.0,ohc,four,4.0,141.0,114.0,24.0,28.0,16515.0
volvo,gas,sedan,rwd,3045.0,ohc,four,4.0,130.0,162.0,17.0,22.0,18420.0
volvo,gas,wagon,rwd,3157.0,ohc,four,4.0,130.0,162.0,17.0,22.0,18950.0
volvo,gas,sedan,rwd,2952.0,ohc,four,4.0,141.0,114.0,23.0,28.0,16845.0
volvo,gas,sedan,rwd,3049.0,ohc,four,4.0,141.0,160.0,19.0,25.0,19045.0
volvo,gas,sedan,rwd,3012.0,ohcv,six,6.0,173.0,134.0,18.0,23.0,21485.0
volvo,diesel,sedan,rwd,3217.0,ohc,six,6.0,145.0,106.0,26.0,27.0,22470.0
volvo,gas,sedan,rwd,3062.0,ohc,four,4.0,141.0,114.0,19.0,25.0,22625.0
